item_type,from_authority,to_authority,items
U DVD Standard,South Gloucestershire,Somerset,2
U DVD Standard,South Gloucestershire,South Gloucestershire,14
Visual Material,Bath and North East Somerset,Bath and North East Somerset,2
YA / Teen Fiction,Bath and North East Somerset,Bath and North East Somerset,38
YA / Teen Fiction,Bath and North East Somerset,Bristol,18
YA / Teen Fiction,Bath and North East Somerset,Dorset,9
YA / Teen Fiction,Bath and North East Somerset,North Somerset,7
YA / Teen Fiction,Bath and North East Somerset,Poole,3
YA / Teen Fiction,Bath and North East Somerset,Somerset,17
YA / Teen Fiction,Bath and North East Somerset,South Gloucestershire,10
YA / Teen Fiction,Bristol,Bath and North East Somerset,15
YA / Teen Fiction,Bristol,Bristol,168
YA / Teen Fiction,Bristol,Dorset,51
YA / Teen Fiction,Bristol,North Somerset,13
YA / Teen Fiction,Bristol,Poole,5
YA / Teen Fiction,Bristol,Somerset,23
YA / Teen Fiction,Bristol,South Gloucestershire,22
YA / Teen Fiction,Dorset,Bath and North East Somerset,9
YA / Teen Fiction,Dorset,Bristol,46
YA / Teen Fiction,Dorset,Dorset,622
YA / Teen Fiction,Dorset,North Somerset,17
YA / Teen Fiction,Dorset,Poole,9
YA / Teen Fiction,Dorset,Somerset,16
YA / Teen Fiction,Dorset,South Gloucestershire,25
YA / Teen Fiction,North Somerset,Bath and North East Somerset,5
YA / Teen Fiction,North Somerset,Bristol,8
YA / Teen Fiction,North Somerset,Dorset,16
YA / Teen Fiction,North Somerset,North Somerset,121
YA / Teen Fiction,North Somerset,Poole,5
YA / Teen Fiction,North Somerset,Somerset,10
YA / Teen Fiction,North Somerset,South Gloucestershire,2
YA / Teen Fiction,Poole,Bath and North East Somerset,8
YA / Teen Fiction,Poole,Bristol,24
YA / Teen Fiction,Poole,Dorset,14
YA / Teen Fiction,Poole,North Somerset,4
YA / Teen Fiction,Poole,Poole,34
YA / Teen Fiction,Poole,Somerset,3
YA / Teen Fiction,Poole,South Gloucestershire,11
YA / Teen Fiction,Somerset,Bath and North East Somerset,14
YA / Teen Fiction,Somerset,Bristol,36
YA / Teen Fiction,Somerset,Dorset,26
YA / Teen Fiction,Somerset,North Somerset,10
YA / Teen Fiction,Somerset,Poole,2
YA / Teen Fiction,Somerset,Somerset,164
YA / Teen Fiction,Somerset,South Gloucestershire,18
YA / Teen Fiction,South Gloucestershire,Bath and North East Somerset,8
YA / Teen Fiction,South Gloucestershire,Bristol,18
YA / Teen Fiction,South Gloucestershire,Dorset,24
YA / Teen Fiction,South Gloucestershire,North Somerset,6
YA / Teen Fiction,South Gloucestershire,Poole,5
YA / Teen Fiction,South Gloucestershire,Somerset,12
YA / Teen Fiction,South Gloucestershire,South Gloucestershire,61
YA / Teen Non Fiction,Bath and North East Somerset,Bristol,1
YA / Teen Non Fiction,Bath and North East Somerset,Dorset,1
YA / Teen Non Fiction,Bath and North East Somerset,North Somerset,2
YA / Teen Non Fiction,Bath and North East Somerset,Somerset,2
YA / Teen Non Fiction,Bath and North East Somerset,South Gloucestershire,2
YA / Teen Non Fiction,Bristol,Bristol,7
YA / Teen Non Fiction,Bristol,Dorset,2
YA / Teen Non Fiction,Bristol,Poole,3
YA / Teen Non Fiction,Bristol,Somerset,1
YA / Teen Non Fiction,Bristol,South Gloucestershire,1
YA / Teen Non Fiction,Dorset,Bath and North East Somerset,1
YA / Teen Non Fiction,Dorset,Bristol,1
YA / Teen Non Fiction,Dorset,Dorset,59
YA / Teen Non Fiction,Dorset,Poole,2
YA / Teen Non Fiction,Dorset,Somerset,2
YA / Teen Non Fiction,Dorset,South Gloucestershire,1
YA / Teen Non Fiction,North Somerset,Dorset,1
YA / Teen Non Fiction,North Somerset,North Somerset,7
YA / Teen Non Fiction,North Somerset,Somerset,1
YA / Teen Non Fiction,North Somerset,South Gloucestershire,2
YA / Teen Non Fiction,Poole,Bristol,3
YA / Teen Non Fiction,Poole,Dorset,1
YA / Teen Non Fiction,Poole,North Somerset,1
YA / Teen Non Fiction,Poole,Poole,4
YA / Teen Non Fiction,Poole,Somerset,1
YA / Teen Non Fiction,Somerset,Bristol,1
YA / Teen Non Fiction,Somerset,Dorset,2
YA / Teen Non Fiction,Somerset,North Somerset,1
YA / Teen Non Fiction,Somerset,Poole,1
YA / Teen Non Fiction,South Gloucestershire,Bristol,1
YA / Teen Non Fiction,South Gloucestershire,Dorset,1
YA / Teen Non Fiction,South Gloucestershire,North Somerset,1
YA / Teen Non Fiction,South Gloucestershire,South Gloucestershire,3
