month_billed,bill_authority,bill_library,item_type,bill_reason,number_of_bills,total_billed
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Fiction,LOST,22,198
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Non Fiction,LOST,6,54
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Spoken Word,CHARGE,5,10
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Child Fiction,LOST,23,115
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Child Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Large Print - Adult Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Large Print - Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,U DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,YA / Teen Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,YA / Teen Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,12 DVD Standard,CHARGE,55,128
2019-05,Bath and North East Somerset,Bath Central Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,CHARGE,64,145
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,OVERDUE,9,28
2019-05,Bath and North East Somerset,Bath Central Library,18 DVD Standard,CHARGE,6,13
2019-05,Bath and North East Somerset,Bath Central Library,18 DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,LOST,31,279
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,OVERDUE,27,100.55
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Graphic Novel,LOST,6,42
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,DAMAGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,LOST,74,668.5
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,OVERDUE,46,180.85
2019-05,Bath and North East Somerset,Bath Central Library,Adult Spoken Word,CHARGE,97,190.0
2019-05,Bath and North East Somerset,Bath Central Library,Adult Spoken Word,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,B.O.P.,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 12 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 15 DVD,CHARGE,7,32
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 15 DVD,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 18 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set PG DVD,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,LOST,162,810
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,OVERDUE,54,185.95
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,LOST,12,60
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,OVERDUE,6,16.95
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Spoken Word,LOST,6,48
2019-05,Bath and North East Somerset,Bath Central Library,Child Spoken Word,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Classification Exempt,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Language Course,CHARGE,10,29
2019-05,Bath and North East Somerset,Bath Central Library,Language Course,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Fiction,LOST,7,49
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Children,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Music CD,CHARGE,57,57
2019-05,Bath and North East Somerset,Bath Central Library,Music CD,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,CHARGE,28,61
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,CHARGE,23,50
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,YA / Teen Fiction,LOST,5,20
2019-05,Bath and North East Somerset,Bath Central Library,YA / Teen Fiction,OVERDUE,5,18.15
2019-05,Bath and North East Somerset,Bath Central Library,YA / Teen Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bishop Sutton Community Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bishop Sutton Community Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bishop Sutton Community Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bishop Sutton Community Library,Child Fiction,LOST,5,25
2019-05,Bath and North East Somerset,Keynsham Library,12 DVD Standard,CHARGE,34,80
2019-05,Bath and North East Somerset,Keynsham Library,15 DVD Standard,CHARGE,22,49
2019-05,Bath and North East Somerset,Keynsham Library,15 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,18 DVD Standard,CHARGE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,Adult Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Keynsham Library,Adult Fiction,OVERDUE,5,32.2
2019-05,Bath and North East Somerset,Keynsham Library,Adult Non Fiction,LOST,10,90
2019-05,Bath and North East Somerset,Keynsham Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,Adult Spoken Word,CHARGE,34,67.5
2019-05,Bath and North East Somerset,Keynsham Library,Adult Spoken Word,LOST,8,240
2019-05,Bath and North East Somerset,Keynsham Library,Child Fiction,LOST,69,344.99
2019-05,Bath and North East Somerset,Keynsham Library,Child Fiction,OVERDUE,11,42.65
2019-05,Bath and North East Somerset,Keynsham Library,Child Non Fiction,LOST,10,50
2019-05,Bath and North East Somerset,Keynsham Library,Classification Exempt,CHARGE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,Large Print - Adult Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Keynsham Library,Music CD,CHARGE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,PG DVD Standard,CHARGE,10,23
2019-05,Bath and North East Somerset,Keynsham Library,U DVD Standard,CHARGE,18,39
2019-05,Bath and North East Somerset,Keynsham Library,U DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Keynsham Library,YA / Teen Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Keynsham Library,YA / Teen Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,12 DVD Standard,CHARGE,9,21
2019-05,Bath and North East Somerset,Midsomer Norton Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,15 DVD Standard,CHARGE,5,14
2019-05,Bath and North East Somerset,Midsomer Norton Library,15 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,18 DVD Standard,CHARGE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Adult Fiction,LOST,8,72
2019-05,Bath and North East Somerset,Midsomer Norton Library,Adult Fiction,OVERDUE,20,76.35
2019-05,Bath and North East Somerset,Midsomer Norton Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Adult Spoken Word,CHARGE,27,51.0
2019-05,Bath and North East Somerset,Midsomer Norton Library,B.O.P.,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Boxed Set 15 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Boxed Set 18 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Fiction,LOST,60,300
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Fiction,OVERDUE,18,32.00
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Non Fiction,LOST,6,30
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,Child Spoken Word,LOST,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,PG DVD Standard,CHARGE,17,42
2019-05,Bath and North East Somerset,Midsomer Norton Library,U DVD Standard,CHARGE,18,38
2019-05,Bath and North East Somerset,Midsomer Norton Library,U DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Midsomer Norton Library,YA / Teen Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,12 DVD Standard,CHARGE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,15 DVD Standard,CHARGE,5,10
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Fiction,LOST,5,45
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Non Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Child Fiction,LOST,29,145
2019-05,Bath and North East Somerset,Moorland Road Library,Child Fiction,OVERDUE,13,62.40
2019-05,Bath and North East Somerset,Moorland Road Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,Classification Exempt,CHARGE,*,*
2019-05,Bath and North East Somerset,Moorland Road Library,U DVD Standard,CHARGE,*,*
2019-05,Bath and North East Somerset,Paulton Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Paulton Library,15 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Paulton Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Paulton Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Paulton Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Paulton Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bath and North East Somerset,Paulton Library,Adult Spoken Word,LOST,*,*
2019-05,Bath and North East Somerset,Paulton Library,Child Fiction,LOST,13,65
2019-05,Bath and North East Somerset,Paulton Library,Child Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Paulton Library,Child Spoken Word,OVERDUE,*,*
2019-05,Bath and North East Somerset,Radstock Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Radstock Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Radstock Library,Adult Non Fiction,OVERDUE,10,16.50
2019-05,Bath and North East Somerset,Radstock Library,Adult Spoken Word,CHARGE,10,20
2019-05,Bath and North East Somerset,Radstock Library,Child Fiction,LOST,19,95
2019-05,Bath and North East Somerset,Radstock Library,Child Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Radstock Library,Child Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Radstock Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Radstock Library,Language Course,CHARGE,*,*
2019-05,Bath and North East Somerset,Radstock Library,YA / Teen Fiction,LOST,7,28
2019-05,Bath and North East Somerset,Saltford Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Saltford Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bath and North East Somerset,Saltford Library,Child Fiction,LOST,5,25
2019-05,Bath and North East Somerset,Saltford Library,Child Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Saltford Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Saltford Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Weston (Bath) Library,Adult Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Weston (Bath) Library,Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Weston (Bath) Library,Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Weston (Bath) Library,Child Fiction,LOST,19,95
2019-05,Bath and North East Somerset,Weston (Bath) Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bristol,Avonmouth Library,Adult Fiction,OVERDUE,*,*
2019-05,Bristol,Avonmouth Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bristol,Avonmouth Library,Child Fiction,LOST,7,35
2019-05,Bristol,Avonmouth Library,Child Fiction,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,12 DVD Standard,CHARGE,35,41
2019-05,Bristol,Bedminster Library,12 DVD Standard,LOST,*,*
2019-05,Bristol,Bedminster Library,12 DVD Standard,OVERDUE,11,9.45
2019-05,Bristol,Bedminster Library,15 DVD Standard,CHARGE,64,74
2019-05,Bristol,Bedminster Library,15 DVD Standard,LOST,*,*
2019-05,Bristol,Bedminster Library,15 DVD Standard,OVERDUE,9,8.10
2019-05,Bristol,Bedminster Library,18 DVD Standard,CHARGE,*,*
2019-05,Bristol,Bedminster Library,18 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,Adult Fiction,LOST,9,81
2019-05,Bristol,Bedminster Library,Adult Fiction,OVERDUE,189,151.65
2019-05,Bristol,Bedminster Library,Adult Graphic Novel,OVERDUE,6,4.20
2019-05,Bristol,Bedminster Library,Adult Non Fiction,LOST,20,180
2019-05,Bristol,Bedminster Library,Adult Non Fiction,OVERDUE,235,166.50
2019-05,Bristol,Bedminster Library,Adult Spoken Word,CHARGE,11,20.9
2019-05,Bristol,Bedminster Library,B.O.P.,LOST,*,*
2019-05,Bristol,Bedminster Library,B.O.P.,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,Boxed Set 12 DVD,CHARGE,*,*
2019-05,Bristol,Bedminster Library,Boxed Set 15 DVD,CHARGE,*,*
2019-05,Bristol,Bedminster Library,Child Fiction,LOST,107,535
2019-05,Bristol,Bedminster Library,Child Fiction,OVERDUE,47,37.95
2019-05,Bristol,Bedminster Library,Child Non Fiction,LOST,16,80
2019-05,Bristol,Bedminster Library,Child Non Fiction,OVERDUE,13,9.30
2019-05,Bristol,Bedminster Library,Child Spoken Word,CHARGE,*,*
2019-05,Bristol,Bedminster Library,Drama single copy,LOST,*,*
2019-05,Bristol,Bedminster Library,Drama single copy,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,Language Course,CHARGE,6,11.4
2019-05,Bristol,Bedminster Library,Language Course,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,Large Print - Adult Fiction,OVERDUE,7,4.95
2019-05,Bristol,Bedminster Library,Music CD,CHARGE,15,7.5
2019-05,Bristol,Bedminster Library,Music CD,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,Music Score,OVERDUE,*,*
2019-05,Bristol,Bedminster Library,PG DVD Standard,CHARGE,22,25
2019-05,Bristol,Bedminster Library,PG DVD Standard,OVERDUE,10,10.05
2019-05,Bristol,Bedminster Library,U DVD Standard,CHARGE,25,26
2019-05,Bristol,Bedminster Library,U DVD Standard,LOST,*,*
2019-05,Bristol,Bedminster Library,U DVD Standard,OVERDUE,11,16.80
2019-05,Bristol,Bedminster Library,YA / Teen Fiction,LOST,*,*
2019-05,Bristol,Bedminster Library,YA / Teen Fiction,OVERDUE,12,7.65
2019-05,Bristol,Bedminster Library,YA / Teen Non Fiction,LOST,*,*
2019-05,Bristol,Bedminster Library,YA / Teen Non Fiction,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,12 DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopston Library,15 DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopston Library,18 DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopston Library,18 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,Adult Fiction,LOST,15,135
2019-05,Bristol,Bishopston Library,Adult Fiction,OVERDUE,226,168.75
2019-05,Bristol,Bishopston Library,Adult Graphic Novel,LOST,*,*
2019-05,Bristol,Bishopston Library,Adult Graphic Novel,OVERDUE,22,14.85
2019-05,Bristol,Bishopston Library,Adult Non Fiction,LOST,22,198
2019-05,Bristol,Bishopston Library,Adult Non Fiction,OVERDUE,292,245.70
2019-05,Bristol,Bishopston Library,Adult Spoken Word,CHARGE,32,60.8
2019-05,Bristol,Bishopston Library,Adult Spoken Word,LOST,*,*
2019-05,Bristol,Bishopston Library,Adult Spoken Word,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,Boxed Set 18 DVD,CHARGE,*,*
2019-05,Bristol,Bishopston Library,Child Fiction,LOST,273,1365
2019-05,Bristol,Bishopston Library,Child Fiction,OVERDUE,115,109.65
2019-05,Bristol,Bishopston Library,Child Non Fiction,LOST,19,95
2019-05,Bristol,Bishopston Library,Child Non Fiction,OVERDUE,10,10.95
2019-05,Bristol,Bishopston Library,Child Spoken Word,CHARGE,*,*
2019-05,Bristol,Bishopston Library,Child Spoken Word,LOST,6,48
2019-05,Bristol,Bishopston Library,Child Spoken Word,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,Fastrack,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,Language Course,CHARGE,*,*
2019-05,Bristol,Bishopston Library,Language Course,LOST,*,*
2019-05,Bristol,Bishopston Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,Large Print - Children,LOST,*,*
2019-05,Bristol,Bishopston Library,Large Print - Children,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,PG DVD Standard,CHARGE,5,5
2019-05,Bristol,Bishopston Library,PG DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bishopston Library,YA / Teen Fiction,LOST,*,*
2019-05,Bristol,Bishopston Library,YA / Teen Fiction,OVERDUE,7,5.85
2019-05,Bristol,Bishopsworth Library,12 DVD Standard,CHARGE,6,8
2019-05,Bristol,Bishopsworth Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bishopsworth Library,15 DVD Standard,CHARGE,8,8
2019-05,Bristol,Bishopsworth Library,15 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bishopsworth Library,18 DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,Adult Fiction,LOST,*,*
2019-05,Bristol,Bishopsworth Library,Adult Fiction,OVERDUE,41,20.70
2019-05,Bristol,Bishopsworth Library,Adult Non Fiction,LOST,*,*
2019-05,Bristol,Bishopsworth Library,Adult Non Fiction,OVERDUE,66,15.90
2019-05,Bristol,Bishopsworth Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,Adult Spoken Word,OVERDUE,*,*
2019-05,Bristol,Bishopsworth Library,Child Fiction,LOST,60,300
2019-05,Bristol,Bishopsworth Library,Child Fiction,OVERDUE,26,41.40
2019-05,Bristol,Bishopsworth Library,Child Non Fiction,LOST,12,60
2019-05,Bristol,Bishopsworth Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bristol,Bishopsworth Library,Child Spoken Word,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,Child Spoken Word,LOST,*,*
2019-05,Bristol,Bishopsworth Library,Music CD,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,PG DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,U DVD Standard,CHARGE,*,*
2019-05,Bristol,Bishopsworth Library,YA / Teen Fiction,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,12 DVD Standard,CHARGE,120,142
2019-05,Bristol,Bristol Central Lending Library,12 DVD Standard,OVERDUE,23,16.65
2019-05,Bristol,Bristol Central Lending Library,15 DVD Standard,CHARGE,187,211
2019-05,Bristol,Bristol Central Lending Library,15 DVD Standard,OVERDUE,24,23.70
2019-05,Bristol,Bristol Central Lending Library,18 DVD Standard,CHARGE,30,33
2019-05,Bristol,Bristol Central Lending Library,18 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Adult Fiction,LOST,42,376
2019-05,Bristol,Bristol Central Lending Library,Adult Fiction,OVERDUE,665,657.90
2019-05,Bristol,Bristol Central Lending Library,Adult Graphic Novel,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,Adult Graphic Novel,OVERDUE,83,82.80
2019-05,Bristol,Bristol Central Lending Library,Adult Non Fiction,LOST,125,1131.38
2019-05,Bristol,Bristol Central Lending Library,Adult Non Fiction,OVERDUE,1670,1890.90
2019-05,Bristol,Bristol Central Lending Library,Adult Reference,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Adult Spoken Word,CHARGE,105,199.5
2019-05,Bristol,Bristol Central Lending Library,Adult Spoken Word,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,Adult Spoken Word,OVERDUE,18,19.35
2019-05,Bristol,Bristol Central Lending Library,B.O.P.,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,B.O.P.,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Boxed Set 12 DVD,CHARGE,*,*
2019-05,Bristol,Bristol Central Lending Library,Boxed Set 12 DVD,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Boxed Set 15 DVD,CHARGE,29,83
2019-05,Bristol,Bristol Central Lending Library,Boxed Set 15 DVD,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Boxed Set 18 DVD,CHARGE,12,36
2019-05,Bristol,Bristol Central Lending Library,Boxed Set PG DVD,CHARGE,*,*
2019-05,Bristol,Bristol Central Lending Library,Child Fiction,LOST,160,800
2019-05,Bristol,Bristol Central Lending Library,Child Fiction,OVERDUE,162,311.25
2019-05,Bristol,Bristol Central Lending Library,Child Non Fiction,LOST,26,130
2019-05,Bristol,Bristol Central Lending Library,Child Non Fiction,OVERDUE,33,60.15
2019-05,Bristol,Bristol Central Lending Library,Child Spoken Word,CHARGE,*,*
2019-05,Bristol,Bristol Central Lending Library,Child Spoken Word,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Classification Exempt,CHARGE,*,*
2019-05,Bristol,Bristol Central Lending Library,Classification Exempt,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Drama Set,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Drama single copy,OVERDUE,15,4.05
2019-05,Bristol,Bristol Central Lending Library,Fastrack,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Language Course,CHARGE,23,43.7
2019-05,Bristol,Bristol Central Lending Library,Language Course,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,Language Course,OVERDUE,5,6.15
2019-05,Bristol,Bristol Central Lending Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Large Print - Adult Non Fiction,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Large Print - Children,OVERDUE,*,*
2019-05,Bristol,Bristol Central Lending Library,Music CD,CHARGE,236,118.0
2019-05,Bristol,Bristol Central Lending Library,Music CD,LOST,12,102.0
2019-05,Bristol,Bristol Central Lending Library,Music CD,OVERDUE,13,48.90
2019-05,Bristol,Bristol Central Lending Library,Music Score,OVERDUE,70,55.45
2019-05,Bristol,Bristol Central Lending Library,PG DVD Standard,CHARGE,63,71
2019-05,Bristol,Bristol Central Lending Library,PG DVD Standard,OVERDUE,16,22.20
2019-05,Bristol,Bristol Central Lending Library,U DVD Standard,CHARGE,48,50
2019-05,Bristol,Bristol Central Lending Library,U DVD Standard,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,U DVD Standard,OVERDUE,14,21.30
2019-05,Bristol,Bristol Central Lending Library,YA / Teen Fiction,LOST,*,*
2019-05,Bristol,Bristol Central Lending Library,YA / Teen Fiction,OVERDUE,12,16.50
2019-05,Bristol,Bristol Central Lending Library,YA / Teen Non Fiction,OVERDUE,*,*
2019-05,Bristol,Cheltenham Road Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bristol,Clifton Library,12 DVD Standard,CHARGE,10,12
2019-05,Bristol,Clifton Library,15 DVD Standard,CHARGE,14,16
2019-05,Bristol,Clifton Library,15 DVD Standard,OVERDUE,5,3.75
2019-05,Bristol,Clifton Library,18 DVD Standard,CHARGE,*,*
2019-05,Bristol,Clifton Library,18 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Clifton Library,Adult Fiction,LOST,*,*
2019-05,Bristol,Clifton Library,Adult Fiction,OVERDUE,43,39.45
2019-05,Bristol,Clifton Library,Adult Graphic Novel,LOST,*,*
2019-05,Bristol,Clifton Library,Adult Graphic Novel,OVERDUE,*,*
2019-05,Bristol,Clifton Library,Adult Non Fiction,OVERDUE,47,60.75
2019-05,Bristol,Clifton Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bristol,Clifton Library,Child Fiction,LOST,53,265
2019-05,Bristol,Clifton Library,Child Fiction,OVERDUE,7,5.10
2019-05,Bristol,Clifton Library,Child Non Fiction,LOST,*,*
2019-05,Bristol,Clifton Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bristol,Clifton Library,Child Spoken Word,CHARGE,*,*
2019-05,Bristol,Clifton Library,Large Print - Adult Non Fiction,OVERDUE,*,*
2019-05,Bristol,Clifton Library,Music CD,CHARGE,*,*
2019-05,Bristol,Clifton Library,PG DVD Standard,CHARGE,9,9
2019-05,Bristol,Clifton Library,PG DVD Standard,OVERDUE,*,*
2019-05,Bristol,Clifton Library,U DVD Standard,CHARGE,8,8
2019-05,Bristol,Clifton Library,YA / Teen Fiction,OVERDUE,*,*
2019-05,Bristol,Filwood Library,Adult Fiction,LOST,*,*
2019-05,Bristol,Filwood Library,Adult Fiction,OVERDUE,8,5.70
2019-05,Bristol,Filwood Library,Adult Non Fiction,LOST,*,*
2019-05,Bristol,Filwood Library,Adult Non Fiction,OVERDUE,*,*
2019-05,Bristol,Filwood Library,Adult Spoken Word,CHARGE,*,*
2019-05,Bristol,Filwood Library,Adult Spoken Word,OVERDUE,*,*
2019-05,Bristol,Filwood Library,Child Fiction,LOST,32,160
2019-05,Bristol,Filwood Library,Child Non Fiction,LOST,*,*
2019-05,Bristol,Filwood Library,Child Non Fiction,OVERDUE,*,*
2019-05,Bristol,Fishponds Library,12 DVD Standard,CHARGE,13,19
2019-05,Bristol,Fishponds Library,12 DVD Standard,LOST,*,*
2019-05,Bristol,Fishponds Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bristol,Fishponds Library,15 DVD Standard,CHARGE,22,30
2019-05,Bristol,Fishponds Library,15 DVD Standard,OVERDUE,5,3.00
2019-05,Bristol,Fishponds Library,18 DVD Standard,CHARGE,*,*
2019-05,Bristol,Fishponds Library,18 DVD Standard,LOST,*,*
