month_issued,authority,item_type,issues,renewals
2018-10,Bath and North East Somerset,12 DVD Standard,142,9
2018-10,Bath and North East Somerset,15 DVD Standard,146,4
2018-10,Bath and North East Somerset,18 DVD Standard,16,0
2018-10,Bath and North East Somerset,Adult Fiction,8907,6184
2018-10,Bath and North East Somerset,Adult Graphic Novel,70,48
2018-10,Bath and North East Somerset,Adult Non Fiction,3940,6935
2018-10,Bath and North East Somerset,Adult Reference,3,6
2018-10,Bath and North East Somerset,Adult Spoken Word,475,174
2018-10,Bath and North East Somerset,B.O.P.,39,43
2018-10,Bath and North East Somerset,Boxed Set 12 DVD,5,0
2018-10,Bath and North East Somerset,Boxed Set 15 DVD,3,0
2018-10,Bath and North East Somerset,Boxed Set 18 DVD,2,0
2018-10,Bath and North East Somerset,Boxed Set PG DVD,1,0
2018-10,Bath and North East Somerset,Child Fiction,10326,7469
2018-10,Bath and North East Somerset,Child Non Fiction,961,1223
2018-10,Bath and North East Somerset,Child Spoken Word,162,187
2018-10,Bath and North East Somerset,Classification Exempt,3,0
2018-10,Bath and North East Somerset,Drama Set,6,1
2018-10,Bath and North East Somerset,Fastrack,1,0
2018-10,Bath and North East Somerset,Language Course,6,4
2018-10,Bath and North East Somerset,Large Print - Adult Fiction,776,381
2018-10,Bath and North East Somerset,Large Print - Adult Non Fiction,64,59
2018-10,Bath and North East Somerset,Large Print - Children,5,0
2018-10,Bath and North East Somerset,Music CD,59,5
2018-10,Bath and North East Somerset,Music Score,11,50
2018-10,Bath and North East Somerset,PG DVD Standard,79,12
2018-10,Bath and North East Somerset,Reading Group Set,2,4
2018-10,Bath and North East Somerset,U DVD Standard,74,10
2018-10,Bath and North East Somerset,YA / Teen Fiction,591,689
2018-10,Bath and North East Somerset,YA / Teen Non Fiction,15,26
2018-10,Bristol,12 DVD Standard,435,8
2018-10,Bristol,15 DVD Standard,620,6
2018-10,Bristol,18 DVD Standard,50,0
2018-10,Bristol,Adult Fiction,20502,15829
2018-10,Bristol,Adult Graphic Novel,1029,876
2018-10,Bristol,Adult Non Fiction,10905,20011
2018-10,Bristol,Adult Reference,2,2
2018-10,Bristol,Adult Spoken Word,1045,339
2018-10,Bristol,B.O.P.,89,109
2018-10,Bristol,Boxed Set 12 DVD,8,0
2018-10,Bristol,Boxed Set 15 DVD,48,1
2018-10,Bristol,Boxed Set 18 DVD,23,0
2018-10,Bristol,Boxed Set PG DVD,5,0
2018-10,Bristol,Boxed Set U DVD,3,0
2018-10,Bristol,Child Fiction,30152,17846
2018-10,Bristol,Child Non Fiction,2992,2755
2018-10,Bristol,Child Spoken Word,344,222
2018-10,Bristol,Classification Exempt,11,0
2018-10,Bristol,Drama Set,14,4
2018-10,Bristol,Drama single copy,67,167
2018-10,Bristol,Equipment,22,23
2018-10,Bristol,Fastrack,24,3
2018-10,Bristol,Language Course,40,40
2018-10,Bristol,Large Print - Adult Fiction,914,530
2018-10,Bristol,Large Print - Adult Non Fiction,68,60
2018-10,Bristol,Large Print - Children,54,25
2018-10,Bristol,Music CD,500,104
2018-10,Bristol,Music Score,153,357
2018-10,Bristol,PG DVD Standard,373,13
2018-10,Bristol,Reading Group Set,4,7
2018-10,Bristol,U DVD Standard,506,14
2018-10,Bristol,YA / Teen Fiction,1086,992
2018-10,Bristol,YA / Teen Non Fiction,68,98
2018-10,Dorset,12 DVD Standard,290,4
2018-10,Dorset,15 DVD Standard,250,5
2018-10,Dorset,18 DVD Standard,22,0
2018-10,Dorset,Adult Fiction,33370,12484
2018-10,Dorset,Adult Graphic Novel,97,67
2018-10,Dorset,Adult Non Fiction,8910,8941
2018-10,Dorset,Adult Reference,3,0
2018-10,Dorset,Adult Spoken Word,2298,394
2018-10,Dorset,B.O.P.,30,24
2018-10,Dorset,Boxed Set 12 DVD,3,0
2018-10,Dorset,Boxed Set 15 DVD,14,0
2018-10,Dorset,Boxed Set 18 DVD,1,0
2018-10,Dorset,Boxed Set U DVD,1,0
2018-10,Dorset,Child Fiction,17328,6457
2018-10,Dorset,Child Non Fiction,2113,1203
2018-10,Dorset,Child Spoken Word,268,27
2018-10,Dorset,Classification Exempt,45,2
2018-10,Dorset,Drama Set,37,0
2018-10,Dorset,Drama single copy,21,12
2018-10,Dorset,Language Course,18,7
2018-10,Dorset,Large Print - Adult Fiction,4497,1165
2018-10,Dorset,Large Print - Adult Non Fiction,490,118
2018-10,Dorset,Large Print - Children,65,29
2018-10,Dorset,Music CD,110,8
2018-10,Dorset,Music Score,61,66
2018-10,Dorset,PG DVD Standard,152,3
2018-10,Dorset,Reading Group Set,1588,29
2018-10,Dorset,U DVD Standard,168,0
2018-10,Dorset,YA / Teen Fiction,933,752
2018-10,Dorset,YA / Teen Non Fiction,69,95
2018-10,North Somerset,12 DVD Standard,180,0
2018-10,North Somerset,15 DVD Standard,148,1
2018-10,North Somerset,18 DVD Standard,7,0
2018-10,North Somerset,Adult Fiction,12939,7430
2018-10,North Somerset,Adult Graphic Novel,60,67
2018-10,North Somerset,Adult Non Fiction,3660,5209
2018-10,North Somerset,Adult Spoken Word,1024,229
2018-10,North Somerset,B.O.P.,119,137
2018-10,North Somerset,Boxed Set 15 DVD,3,1
2018-10,North Somerset,Boxed Set 18 DVD,2,0
2018-10,North Somerset,Boxed Set EX DVD,2,0
2018-10,North Somerset,Boxed Set U DVD,1,0
2018-10,North Somerset,Child Fiction,10318,6785
2018-10,North Somerset,Child Non Fiction,1331,1327
2018-10,North Somerset,Child Spoken Word,207,168
2018-10,North Somerset,Drama Set,2,1
2018-10,North Somerset,Drama single copy,8,20
2018-10,North Somerset,Equipment,6,15
2018-10,North Somerset,Language Course,13,3
2018-10,North Somerset,Large Print - Adult Fiction,2093,748
2018-10,North Somerset,Large Print - Adult Non Fiction,194,75
2018-10,North Somerset,Large Print - Children,35,33
2018-10,North Somerset,Music CD,78,1
2018-10,North Somerset,Music Score,14,25
2018-10,North Somerset,PG DVD Standard,142,1
2018-10,North Somerset,Reading Group Set,6,5
2018-10,North Somerset,U DVD Standard,186,3
2018-10,North Somerset,YA / Teen Fiction,365,408
2018-10,North Somerset,YA / Teen Non Fiction,10,12
2018-10,Poole,12 DVD Standard,103,10
2018-10,Poole,15 DVD Standard,110,3
2018-10,Poole,18 DVD Standard,10,1
2018-10,Poole,Adult Fiction,11731,6818
2018-10,Poole,Adult Graphic Novel,17,1
2018-10,Poole,Adult Non Fiction,3372,4185
2018-10,Poole,Adult Reference,1,1
2018-10,Poole,Adult Spoken Word,606,213
2018-10,Poole,B.O.P.,37,45
2018-10,Poole,Boxed Set 12 DVD,7,0
2018-10,Poole,Boxed Set 15 DVD,25,3
2018-10,Poole,Boxed Set 18 DVD,5,0
2018-10,Poole,Boxed Set PG DVD,1,0
2018-10,Poole,Child Fiction,10389,4428
2018-10,Poole,Child Non Fiction,1309,670
2018-10,Poole,Child Spoken Word,106,66
2018-10,Poole,Classification Exempt,1,1
2018-10,Poole,Drama single copy,3,3
2018-10,Poole,Language Course,4,0
2018-10,Poole,Large Print - Adult Fiction,1232,478
2018-10,Poole,Large Print - Adult Non Fiction,166,49
2018-10,Poole,Large Print - Children,14,3
2018-10,Poole,Music CD,111,6
2018-10,Poole,Music Score,2,4
2018-10,Poole,PG DVD Standard,64,2
2018-10,Poole,Reading Group Set,19,9
2018-10,Poole,U DVD Standard,88,5
2018-10,Poole,Visual Material,7,4
2018-10,Poole,YA / Teen Fiction,422,347
2018-10,Poole,YA / Teen Non Fiction,80,46
2018-10,Somerset,12 DVD Standard,543,22
2018-10,Somerset,15 DVD Standard,467,9
2018-10,Somerset,18 DVD Standard,34,2
2018-10,Somerset,Adult Fiction,36856,22724
2018-10,Somerset,Adult Graphic Novel,237,155
2018-10,Somerset,Adult Non Fiction,10782,15960
2018-10,Somerset,Adult Reference,6,3
2018-10,Somerset,Adult Spoken Word,1771,637
2018-10,Somerset,B.O.P.,245,383
2018-10,Somerset,Boxed Set 12 DVD,4,0
2018-10,Somerset,Boxed Set 15 DVD,20,0
2018-10,Somerset,Boxed Set 18 DVD,16,1
2018-10,Somerset,Boxed Set PG DVD,4,0
2018-10,Somerset,Boxed Set U DVD,3,1
2018-10,Somerset,Child Fiction,29579,22257
2018-10,Somerset,Child Non Fiction,3145,3235
2018-10,Somerset,Child Reference,1,0
2018-10,Somerset,Child Spoken Word,376,205
2018-10,Somerset,Classification Exempt,4,0
2018-10,Somerset,Drama Set,1,0
2018-10,Somerset,Drama single copy,378,494
2018-10,Somerset,Equipment,18,92
2018-10,Somerset,ILL,1,0
2018-10,Somerset,Language Course,24,25
2018-10,Somerset,Large Print - Adult Fiction,3593,1505
2018-10,Somerset,Large Print - Adult Non Fiction,301,159
2018-10,Somerset,Large Print - Children,35,25
2018-10,Somerset,Music CD,105,8
2018-10,Somerset,Music Score,130,411
2018-10,Somerset,Music Set,120,0
2018-10,Somerset,PG DVD Standard,344,12
2018-10,Somerset,Reading Group Set,3,0
2018-10,Somerset,U DVD Standard,240,27
2018-10,Somerset,YA / Teen Fiction,1211,1465
2018-10,Somerset,YA / Teen Non Fiction,28,50
2018-10,South Gloucestershire,12 DVD Standard,351,61
2018-10,South Gloucestershire,15 DVD Standard,272,41
2018-10,South Gloucestershire,18 DVD Standard,12,1
2018-10,South Gloucestershire,Adult Fiction,15453,10512
2018-10,South Gloucestershire,Adult Graphic Novel,87,65
2018-10,South Gloucestershire,Adult Non Fiction,4249,6817
2018-10,South Gloucestershire,Adult Spoken Word,818,196
2018-10,South Gloucestershire,B.O.P.,159,255
2018-10,South Gloucestershire,Boxed Set 12 DVD,4,3
2018-10,South Gloucestershire,Boxed Set 15 DVD,31,6
2018-10,South Gloucestershire,Boxed Set 18 DVD,15,2
2018-10,South Gloucestershire,Boxed Set PG DVD,1,0
2018-10,South Gloucestershire,Boxed Set U DVD,10,0
2018-10,South Gloucestershire,Child Fiction,18115,10118
2018-10,South Gloucestershire,Child Non Fiction,2125,1728
2018-10,South Gloucestershire,Child Spoken Word,373,237
2018-10,South Gloucestershire,Classification Exempt,10,6
2018-10,South Gloucestershire,Drama Set,2,0
2018-10,South Gloucestershire,Drama single copy,3,2
2018-10,South Gloucestershire,Equipment,12,18
2018-10,South Gloucestershire,Fastrack,478,297
2018-10,South Gloucestershire,Language Course,11,33
2018-10,South Gloucestershire,Large Print - Adult Fiction,1754,719
2018-10,South Gloucestershire,Large Print - Adult Non Fiction,103,65
2018-10,South Gloucestershire,Large Print - Children,31,36
2018-10,South Gloucestershire,Music CD,84,31
2018-10,South Gloucestershire,Music Score,3,41
2018-10,South Gloucestershire,PG DVD Standard,265,38
2018-10,South Gloucestershire,Reading Group Set,1,0
2018-10,South Gloucestershire,U DVD Standard,397,42
2018-10,South Gloucestershire,YA / Teen Fiction,764,813
2018-10,South Gloucestershire,YA / Teen Non Fiction,41,134
2018-11,Bath and North East Somerset,12 DVD Standard,132,10
2018-11,Bath and North East Somerset,15 DVD Standard,130,7
2018-11,Bath and North East Somerset,18 DVD Standard,10,3
2018-11,Bath and North East Somerset,Adult Fiction,8304,5740
2018-11,Bath and North East Somerset,Adult Graphic Novel,55,37
2018-11,Bath and North East Somerset,Adult Non Fiction,3331,5486
2018-11,Bath and North East Somerset,Adult Reference,2,0
2018-11,Bath and North East Somerset,Adult Spoken Word,445,109
2018-11,Bath and North East Somerset,B.O.P.,43,90
2018-11,Bath and North East Somerset,Boxed Set 12 DVD,3,0
2018-11,Bath and North East Somerset,Boxed Set 15 DVD,13,3
2018-11,Bath and North East Somerset,Boxed Set 18 DVD,8,1
2018-11,Bath and North East Somerset,Boxed Set PG DVD,1,0
2018-11,Bath and North East Somerset,Child Fiction,9465,6540
2018-11,Bath and North East Somerset,Child Non Fiction,915,957
2018-11,Bath and North East Somerset,Child Spoken Word,143,162
2018-11,Bath and North East Somerset,Classification Exempt,4,1
2018-11,Bath and North East Somerset,Drama Set,4,1
2018-11,Bath and North East Somerset,Language Course,13,6
2018-11,Bath and North East Somerset,Large Print - Adult Fiction,666,320
2018-11,Bath and North East Somerset,Large Print - Adult Non Fiction,61,45
2018-11,Bath and North East Somerset,Large Print - Children,3,0
2018-11,Bath and North East Somerset,Music CD,83,5
2018-11,Bath and North East Somerset,Music Score,15,36
2018-11,Bath and North East Somerset,PG DVD Standard,74,12
2018-11,Bath and North East Somerset,Reading Group Set,8,2
2018-11,Bath and North East Somerset,U DVD Standard,68,2
2018-11,Bath and North East Somerset,YA / Teen Fiction,436,613
2018-11,Bath and North East Somerset,YA / Teen Non Fiction,15,21
2018-11,Bristol,Unknown,2,0
2018-11,Bristol,12 DVD Standard,399,3
2018-11,Bristol,15 DVD Standard,577,23
2018-11,Bristol,18 DVD Standard,60,1
2018-11,Bristol,Adult Fiction,19071,14715
2018-11,Bristol,Adult Graphic Novel,826,759
2018-11,Bristol,Adult Non Fiction,9800,16971
2018-11,Bristol,Adult Reference,1,1
2018-11,Bristol,Adult Spoken Word,959,327
2018-11,Bristol,B.O.P.,92,160
2018-11,Bristol,Boxed Set 12 DVD,15,0
2018-11,Bristol,Boxed Set 15 DVD,34,1
2018-11,Bristol,Boxed Set 18 DVD,23,0
2018-11,Bristol,Boxed Set EX DVD,2,0
2018-11,Bristol,Boxed Set PG DVD,2,0
2018-11,Bristol,Boxed Set U DVD,2,0
2018-11,Bristol,Child Fiction,27928,16958
2018-11,Bristol,Child Non Fiction,2994,2966
2018-11,Bristol,Child Spoken Word,324,234
2018-11,Bristol,Classification Exempt,6,0
2018-11,Bristol,Drama Set,24,8
2018-11,Bristol,Drama single copy,58,41
2018-11,Bristol,Equipment,16,5
2018-11,Bristol,Fastrack,27,1
2018-11,Bristol,Language Course,34,39
2018-11,Bristol,Large Print - Adult Fiction,923,527
2018-11,Bristol,Large Print - Adult Non Fiction,58,49
2018-11,Bristol,Large Print - Children,52,14
2018-11,Bristol,Music CD,475,66
2018-11,Bristol,Music Score,170,447
2018-11,Bristol,PG DVD Standard,309,8
2018-11,Bristol,Reading Group Set,11,2
2018-11,Bristol,U DVD Standard,329,3
2018-11,Bristol,YA / Teen Fiction,881,1026
2018-11,Bristol,YA / Teen Non Fiction,54,55
2018-11,Dorset,12 DVD Standard,308,2
2018-11,Dorset,15 DVD Standard,232,4
2018-11,Dorset,18 DVD Standard,29,0
2018-11,Dorset,Adult Fiction,32647,12496
2018-11,Dorset,Adult Graphic Novel,82,91
2018-11,Dorset,Adult Non Fiction,8285,8052
2018-11,Dorset,Adult Reference,5,1
2018-11,Dorset,Adult Spoken Word,2278,447
2018-11,Dorset,B.O.P.,22,41
2018-11,Dorset,Boxed Set 12 DVD,3,0
2018-11,Dorset,Boxed Set 15 DVD,13,0
2018-11,Dorset,Boxed Set 18 DVD,8,0
2018-11,Dorset,Child Fiction,15058,5491
2018-11,Dorset,Child Non Fiction,1805,863
2018-11,Dorset,Child Spoken Word,205,23
2018-11,Dorset,Classification Exempt,38,0
2018-11,Dorset,Drama Set,26,0
2018-11,Dorset,Drama single copy,12,1
2018-11,Dorset,Equipment,3,0
2018-11,Dorset,ILL,1,0
2018-11,Dorset,Language Course,11,2
2018-11,Dorset,Large Print - Adult Fiction,4227,1254
2018-11,Dorset,Large Print - Adult Non Fiction,511,116
2018-11,Dorset,Large Print - Children,33,21
2018-11,Dorset,Music CD,67,6
2018-11,Dorset,Music Score,45,113
2018-11,Dorset,PG DVD Standard,175,0
2018-11,Dorset,Reading Group Set,1594,51
2018-11,Dorset,U DVD Standard,89,0
2018-11,Dorset,YA / Teen Fiction,720,568
2018-11,Dorset,YA / Teen Non Fiction,32,42
2018-11,North Somerset,12 DVD Standard,194,2
2018-11,North Somerset,15 DVD Standard,132,0
2018-11,North Somerset,18 DVD Standard,6,0
2018-11,North Somerset,Adult Fiction,12617,7488
2018-11,North Somerset,Adult Graphic Novel,32,31
2018-11,North Somerset,Adult Non Fiction,3172,4670
2018-11,North Somerset,Adult Reference,1,0
2018-11,North Somerset,Adult Spoken Word,949,258
2018-11,North Somerset,B.O.P.,68,67
2018-11,North Somerset,Boxed Set 12 DVD,1,0
2018-11,North Somerset,Boxed Set 15 DVD,3,0
2018-11,North Somerset,Boxed Set 18 DVD,4,0
2018-11,North Somerset,Child Fiction,9748,6455
2018-11,North Somerset,Child Non Fiction,1195,1108
2018-11,North Somerset,Child Spoken Word,169,136
2018-11,North Somerset,Classification Exempt,2,1
2018-11,North Somerset,Drama Set,3,2
2018-11,North Somerset,Drama single copy,4,2
2018-11,North Somerset,Equipment,3,0
2018-11,North Somerset,Language Course,6,5
2018-11,North Somerset,Large Print - Adult Fiction,2044,630
2018-11,North Somerset,Large Print - Adult Non Fiction,174,65
2018-11,North Somerset,Large Print - Children,43,39
2018-11,North Somerset,Music CD,75,1
2018-11,North Somerset,Music Score,18,21
2018-11,North Somerset,PG DVD Standard,145,6
2018-11,North Somerset,Reading Group Set,6,1
2018-11,North Somerset,U DVD Standard,149,5
2018-11,North Somerset,YA / Teen Fiction,279,286
2018-11,North Somerset,YA / Teen Non Fiction,11,22
2018-11,Poole,12 DVD Standard,104,11
2018-11,Poole,15 DVD Standard,104,11
2018-11,Poole,18 DVD Standard,7,5
2018-11,Poole,Adult Fiction,10429,6337
2018-11,Poole,Adult Graphic Novel,17,4
2018-11,Poole,Adult Non Fiction,3062,3972
2018-11,Poole,Adult Spoken Word,579,218
2018-11,Poole,B.O.P.,44,36
2018-11,Poole,Boxed Set 12 DVD,5,1
2018-11,Poole,Boxed Set 15 DVD,23,1
2018-11,Poole,Boxed Set 18 DVD,3,2
2018-11,Poole,Boxed Set PG DVD,2,0
2018-11,Poole,Child Fiction,8399,3490
2018-11,Poole,Child Non Fiction,1079,606
2018-11,Poole,Child Spoken Word,81,51
2018-11,Poole,Classification Exempt,1,0
2018-11,Poole,Language Course,5,5
2018-11,Poole,Large Print - Adult Fiction,1233,774
2018-11,Poole,Large Print - Adult Non Fiction,152,98
2018-11,Poole,Large Print - Children,10,8
2018-11,Poole,Music CD,94,20
2018-11,Poole,Music Score,2,2
2018-11,Poole,PG DVD Standard,66,10
2018-11,Poole,Reading Group Set,21,42
2018-11,Poole,U DVD Standard,54,0
2018-11,Poole,Visual Material,10,4
2018-11,Poole,YA / Teen Fiction,324,281
2018-11,Poole,YA / Teen Non Fiction,53,55
2018-11,Somerset,12 DVD Standard,565,23
2018-11,Somerset,15 DVD Standard,427,8
2018-11,Somerset,18 DVD Standard,34,0
2018-11,Somerset,Adult Fiction,36042,22169
2018-11,Somerset,Adult Graphic Novel,174,171
2018-11,Somerset,Adult Non Fiction,10083,13867
2018-11,Somerset,Adult Reference,3,2
2018-11,Somerset,Adult Spoken Word,1813,663
2018-11,Somerset,B.O.P.,196,306
2018-11,Somerset,Boxed Set 12 DVD,7,0
2018-11,Somerset,Boxed Set 15 DVD,18,0
2018-11,Somerset,Boxed Set 18 DVD,21,1
2018-11,Somerset,Boxed Set PG DVD,2,0
2018-11,Somerset,Child Fiction,26812,19718
2018-11,Somerset,Child Non Fiction,2694,3427
2018-11,Somerset,Child Spoken Word,254,158
2018-11,Somerset,Classification Exempt,13,2
2018-11,Somerset,Drama single copy,334,65
2018-11,Somerset,Equipment,5,16
2018-11,Somerset,Language Course,26,19
2018-11,Somerset,Large Print - Adult Fiction,3762,1506
2018-11,Somerset,Large Print - Adult Non Fiction,271,215
2018-11,Somerset,Large Print - Children,25,9
2018-11,Somerset,Music CD,90,8
2018-11,Somerset,Music Score,182,483
2018-11,Somerset,Music Set,87,6
2018-11,Somerset,PG DVD Standard,296,11
2018-11,Somerset,Reading Group Set,6,3
2018-11,Somerset,U DVD Standard,215,16
2018-11,Somerset,YA / Teen Fiction,1042,1424
2018-11,Somerset,YA / Teen Non Fiction,25,67
2018-11,South Gloucestershire,12 DVD Standard,329,39
2018-11,South Gloucestershire,15 DVD Standard,279,25
2018-11,South Gloucestershire,18 DVD Standard,21,5
2018-11,South Gloucestershire,Adult Fiction,14245,9617
2018-11,South Gloucestershire,Adult Graphic Novel,62,69
2018-11,South Gloucestershire,Adult Non Fiction,3751,5635
2018-11,South Gloucestershire,Adult Spoken Word,679,199
2018-11,South Gloucestershire,B.O.P.,144,198
2018-11,South Gloucestershire,Boxed Set 12 DVD,5,0
2018-11,South Gloucestershire,Boxed Set 15 DVD,24,1
2018-11,South Gloucestershire,Boxed Set 18 DVD,13,1
2018-11,South Gloucestershire,Boxed Set PG DVD,2,0
2018-11,South Gloucestershire,Boxed Set U DVD,3,0
2018-11,South Gloucestershire,Child Fiction,16382,8593
2018-11,South Gloucestershire,Child Non Fiction,1719,1289
2018-11,South Gloucestershire,Child Spoken Word,254,250
2018-11,South Gloucestershire,Classification Exempt,7,3
2018-11,South Gloucestershire,Drama Set,3,1
2018-11,South Gloucestershire,Drama single copy,8,6
2018-11,South Gloucestershire,Equipment,8,4
2018-11,South Gloucestershire,Fastrack,521,301
2018-11,South Gloucestershire,ILL,1,0
2018-11,South Gloucestershire,Language Course,20,43
2018-11,South Gloucestershire,Large Print - Adult Fiction,1608,602
2018-11,South Gloucestershire,Large Print - Adult Non Fiction,93,50
2018-11,South Gloucestershire,Large Print - Children,31,31
2018-11,South Gloucestershire,Music CD,31,20
2018-11,South Gloucestershire,Music Score,7,16
2018-11,South Gloucestershire,PG DVD Standard,240,21
2018-11,South Gloucestershire,Reading Group Set,5,0
2018-11,South Gloucestershire,U DVD Standard,305,56
2018-11,South Gloucestershire,YA / Teen Fiction,569,555
2018-11,South Gloucestershire,YA / Teen Non Fiction,14,22
2018-12,Bath and North East Somerset,12 DVD Standard,138,9
2018-12,Bath and North East Somerset,15 DVD Standard,98,4
2018-12,Bath and North East Somerset,18 DVD Standard,4,1
2018-12,Bath and North East Somerset,Adult Fiction,6992,5404
2018-12,Bath and North East Somerset,Adult Graphic Novel,45,67
2018-12,Bath and North East Somerset,Adult Non Fiction,2581,4225
2018-12,Bath and North East Somerset,Adult Spoken Word,321,114
2018-12,Bath and North East Somerset,B.O.P.,22,35
2018-12,Bath and North East Somerset,Boxed Set 12 DVD,6,0
2018-12,Bath and North East Somerset,Boxed Set 15 DVD,9,1
2018-12,Bath and North East Somerset,Boxed Set 18 DVD,2,0
2018-12,Bath and North East Somerset,Boxed Set PG DVD,1,0
2018-12,Bath and North East Somerset,Child Fiction,6716,4885
2018-12,Bath and North East Somerset,Child Non Fiction,476,568
2018-12,Bath and North East Somerset,Child Spoken Word,134,103
2018-12,Bath and North East Somerset,Classification Exempt,1,0
2018-12,Bath and North East Somerset,Drama Set,3,0
2018-12,Bath and North East Somerset,Fastrack,1,0
2018-12,Bath and North East Somerset,Language Course,5,5
2018-12,Bath and North East Somerset,Large Print - Adult Fiction,571,309
2018-12,Bath and North East Somerset,Large Print - Adult Non Fiction,42,30
2018-12,Bath and North East Somerset,Large Print - Children,3,3
2018-12,Bath and North East Somerset,Music CD,54,6
2018-12,Bath and North East Somerset,Music Score,10,13
2018-12,Bath and North East Somerset,PG DVD Standard,83,11
2018-12,Bath and North East Somerset,Reading Group Set,2,0
2018-12,Bath and North East Somerset,U DVD Standard,37,9
2018-12,Bath and North East Somerset,YA / Teen Fiction,431,702
2018-12,Bath and North East Somerset,YA / Teen Non Fiction,7,19
2018-12,Bristol,Unknown,1,5
2018-12,Bristol,12 DVD Standard,445,15
2018-12,Bristol,15 DVD Standard,559,14
2018-12,Bristol,18 DVD Standard,48,2
2018-12,Bristol,Adult Fiction,17231,14013
2018-12,Bristol,Adult Graphic Novel,673,626
2018-12,Bristol,Adult Non Fiction,7960,14320
2018-12,Bristol,Adult Spoken Word,852,336
2018-12,Bristol,B.O.P.,75,124
2018-12,Bristol,Boxed Set 12 DVD,13,1
2018-12,Bristol,Boxed Set 15 DVD,26,1
2018-12,Bristol,Boxed Set 18 DVD,34,2
2018-12,Bristol,Boxed Set PG DVD,4,0
2018-12,Bristol,Boxed Set U DVD,2,0
2018-12,Bristol,Child Fiction,20367,12801
2018-12,Bristol,Child Non Fiction,1752,1598
2018-12,Bristol,Child Spoken Word,217,158
2018-12,Bristol,Classification Exempt,6,0
2018-12,Bristol,Drama Set,21,2
2018-12,Bristol,Drama single copy,79,100
2018-12,Bristol,Equipment,23,39
2018-12,Bristol,Fastrack,21,0
2018-12,Bristol,Language Course,31,15
2018-12,Bristol,Large Print - Adult Fiction,711,446
2018-12,Bristol,Large Print - Adult Non Fiction,63,67
2018-12,Bristol,Large Print - Children,36,17
2018-12,Bristol,Music CD,411,136
2018-12,Bristol,Music Score,118,256
2018-12,Bristol,PG DVD Standard,265,4
2018-12,Bristol,Reading Group Set,6,0
2018-12,Bristol,U DVD Standard,270,9
2018-12,Bristol,YA / Teen Fiction,768,884
2018-12,Bristol,YA / Teen Non Fiction,53,120
2018-12,Dorset,12 DVD Standard,278,6
2018-12,Dorset,15 DVD Standard,219,3
2018-12,Dorset,18 DVD Standard,19,3
2018-12,Dorset,Adult Fiction,28905,12786
2018-12,Dorset,Adult Graphic Novel,62,78
2018-12,Dorset,Adult Non Fiction,6505,6249
2018-12,Dorset,Adult Reference,6,0
2018-12,Dorset,Adult Spoken Word,1879,465
2018-12,Dorset,B.O.P.,27,57
2018-12,Dorset,Boxed Set 12 DVD,1,0
2018-12,Dorset,Boxed Set 15 DVD,5,0
2018-12,Dorset,Boxed Set 18 DVD,3,0
2018-12,Dorset,Child Fiction,10469,3703
2018-12,Dorset,Child Non Fiction,1041,721
2018-12,Dorset,Child Spoken Word,178,48
2018-12,Dorset,Classification Exempt,26,0
2018-12,Dorset,Drama Set,11,0
2018-12,Dorset,Drama single copy,10,5
2018-12,Dorset,Equipment,1,0
2018-12,Dorset,Fastrack,1,0
2018-12,Dorset,Language Course,11,2
2018-12,Dorset,Large Print - Adult Fiction,3769,1154
2018-12,Dorset,Large Print - Adult Non Fiction,441,129
2018-12,Dorset,Large Print - Children,34,20
2018-12,Dorset,Music CD,65,0
2018-12,Dorset,Music Score,53,82
2018-12,Dorset,PG DVD Standard,131,0
2018-12,Dorset,Reading Group Set,1323,42
2018-12,Dorset,U DVD Standard,48,1
2018-12,Dorset,YA / Teen Fiction,627,426
2018-12,Dorset,YA / Teen Non Fiction,35,39
2018-12,North Somerset,12 DVD Standard,160,5
2018-12,North Somerset,15 DVD Standard,94,0
2018-12,North Somerset,18 DVD Standard,12,0
2018-12,North Somerset,Adult Fiction,9976,6268
2018-12,North Somerset,Adult Graphic Novel,31,7
2018-12,North Somerset,Adult Non Fiction,2500,3711
2018-12,North Somerset,Adult Spoken Word,782,263
2018-12,North Somerset,B.O.P.,41,59
2018-12,North Somerset,Boxed Set 12 DVD,1,0
2018-12,North Somerset,Boxed Set 15 DVD,3,0
2018-12,North Somerset,Boxed Set 18 DVD,2,0
2018-12,North Somerset,Child Fiction,6443,4702
2018-12,North Somerset,Child Non Fiction,597,673
2018-12,North Somerset,Child Spoken Word,140,160
2018-12,North Somerset,Drama single copy,2,6
2018-12,North Somerset,Equipment,1,2
2018-12,North Somerset,Language Course,4,2
2018-12,North Somerset,Large Print - Adult Fiction,1365,655
2018-12,North Somerset,Large Print - Adult Non Fiction,127,80
2018-12,North Somerset,Large Print - Children,23,24
2018-12,North Somerset,Music CD,49,0
2018-12,North Somerset,Music Score,27,45
2018-12,North Somerset,PG DVD Standard,131,5
2018-12,North Somerset,Reading Group Set,4,0
2018-12,North Somerset,U DVD Standard,132,8
2018-12,North Somerset,YA / Teen Fiction,233,239
2018-12,North Somerset,YA / Teen Non Fiction,4,13
2018-12,Poole,12 DVD Standard,84,8
2018-12,Poole,15 DVD Standard,70,7
2018-12,Poole,18 DVD Standard,3,0
2018-12,Poole,Adult Fiction,8994,6205
2018-12,Poole,Adult Graphic Novel,11,10
2018-12,Poole,Adult Non Fiction,2589,3339
2018-12,Poole,Adult Reference,1,0
