authority,item_type,items,total_issues,total_renewals
North Somerset,Unknown,3,0,0
North Somerset,12 DVD Premium,61,110,0
North Somerset,12 DVD Standard,1352,12869,379
North Somerset,15 DVD Premium,28,16,0
North Somerset,15 DVD Standard,1258,9220,227
North Somerset,18 DVD Standard,133,1030,18
North Somerset,Adult Fiction,37169,610592,311738
North Somerset,Adult Graphic Novel,464,7516,5061
North Somerset,Adult Non Fiction,36155,356502,402542
North Somerset,Adult Reference,8979,1509,723
North Somerset,Adult Spoken Word,4526,104768,27078
North Somerset,B.O.P.,1464,3878,4887
North Somerset,Boxed Set 12 DVD,11,131,16
North Somerset,Boxed Set 15 DVD,31,490,70
North Somerset,Boxed Set 18 DVD,4,130,13
North Somerset,Boxed Set EX DVD,21,198,93
North Somerset,Boxed Set PG DVD,4,46,4
North Somerset,Boxed Set U DVD,15,139,15
North Somerset,Cash Sales No VAT,9,0,0
North Somerset,Cash Sales With Tax,14,0,0
North Somerset,Child Fiction,34050,773479,421284
North Somerset,Child Non Fiction,11499,157006,108075
North Somerset,Child Reference,251,488,1097
North Somerset,Child Spoken Word,1692,24317,17984
North Somerset,Classification Exempt,11,32,6
North Somerset,Drama single copy,6,10,5
North Somerset,Equipment,120,537,140
North Somerset,Language Course,92,1697,700
North Somerset,Large Print - Adult Fiction,11339,315578,74103
North Somerset,Large Print - Adult Non Fiction,1636,38436,12147
North Somerset,Large Print - Children,384,6298,4521
North Somerset,Music CD,1960,22992,3397
North Somerset,Music Score,1719,3551,5675
North Somerset,PG DVD Premium,30,25,0
North Somerset,PG DVD Standard,849,15541,739
North Somerset,U  DVD Premium,12,18,0
North Somerset,U DVD Standard,1372,25410,1434
North Somerset,YA / Teen Fiction,4010,32659,29329
North Somerset,YA / Teen Non Fiction,590,1415,1982
Poole,12 DVD Premium,3,4,0
Poole,12 DVD Standard,1772,6280,474
Poole,15 DVD Premium,1,4,0
Poole,15 DVD Standard,2754,6188,474
Poole,18 DVD Standard,348,802,85
Poole,Adult Fiction,47570,365756,204126
Poole,Adult Graphic Novel,121,296,133
Poole,Adult Non Fiction,38284,129716,150432
Poole,Adult Reference,792,13,13
Poole,Adult Spoken Word,4944,26050,7774
Poole,B.O.P.,1010,2287,2028
Poole,Boxed Set 12 DVD,136,539,60
Poole,Boxed Set 15 DVD,391,1328,193
Poole,Boxed Set 18 DVD,93,415,39
Poole,Boxed Set PG DVD,16,39,9
Poole,Boxed Set U DVD,6,20,3
Poole,Child Fiction,36570,313956,124177
Poole,Child Non Fiction,10540,42385,22892
Poole,Child Reference,16,3,5
Poole,Child Spoken Word,988,3506,2173
Poole,Classification Exempt,30,43,10
Poole,Drama Set,1,8,3
Poole,Equipment,7,3,5
Poole,Language Course,31,102,150
Poole,Large Print - Adult Fiction,8850,48451,18671
Poole,Large Print - Adult Non Fiction,1382,6248,2686
Poole,Large Print - Children,174,361,188
Poole,Music CD,2669,7076,601
Poole,Music Score,11,15,15
Poole,PG DVD Standard,993,3443,249
Poole,Reading Group Set,9,17,134
Poole,U  DVD Premium,1,0,0
Poole,U DVD Standard,1495,4599,255
Poole,Visual Material,46,253,200
Poole,YA / Teen Fiction,4391,15237,11583
Poole,YA / Teen Non Fiction,920,2534,2521
Somerset,Unknown,2,0,0
Somerset,12 DVD Premium,117,193,4
Somerset,12 DVD Standard,3580,33560,1137
Somerset,15 DVD Premium,82,97,0
Somerset,15 DVD Standard,4556,35077,1219
Somerset,18 DVD Premium,5,4,2
Somerset,18 DVD Standard,429,3665,152
Somerset,Adult Fiction,151269,2582908,1361029
Somerset,Adult Graphic Novel,1672,35843,23532
Somerset,Adult Non Fiction,149534,2088402,1741632
Somerset,Adult Reference,18579,34205,5394
Somerset,Adult Spoken Word,14331,304247,88507
Somerset,B.O.P.,2744,16247,22466
Somerset,Boxed Set 12 DVD,74,1094,118
Somerset,Boxed Set 15 DVD,205,3395,427
Somerset,Boxed Set 18 DVD,74,1550,126
Somerset,Boxed Set EX DVD,7,57,6
Somerset,Boxed Set PG DVD,24,360,52
Somerset,Boxed Set U DVD,13,81,2
Somerset,Cash Sales No VAT,18,0,0
Somerset,Cash Sales With Tax,1,0,0
Somerset,Child Fiction,117036,1696232,1097371
Somerset,Child Non Fiction,22924,278717,231346
Somerset,Child Reference,178,266,54
Somerset,Child Spoken Word,2226,21373,8023
Somerset,Classification Exempt,91,1078,164
Somerset,Drama Set,1,1,0
Somerset,Drama single copy,26290,86079,42604
Somerset,Equipment,378,583,909
Somerset,Fastrack,1,8,3
Somerset,ILL,11,12,1
Somerset,Language Course,246,5711,2787
Somerset,Large Print - Adult Fiction,27055,621475,177819
Somerset,Large Print - Adult Non Fiction,3471,76485,28298
Somerset,Large Print - Children,229,4047,3691
Somerset,Music CD,1219,32134,2091
Somerset,Music Score,23688,122431,116334
Somerset,Music Set,3946,3388,507
Somerset,PG DVD Premium,61,46,0
Somerset,PG DVD Standard,2052,21496,1087
Somerset,U  DVD Premium,21,41,2
Somerset,U DVD Standard,2585,31420,2034
Somerset,Visual Material,3,10,4
Somerset,YA / Teen Fiction,12197,98926,99113
Somerset,YA / Teen Non Fiction,288,1411,1577
South Gloucestershire,Unknown,5,0,0
South Gloucestershire,12 DVD Premium,55,75,3
South Gloucestershire,12 DVD Standard,2331,28800,3668
South Gloucestershire,15 DVD Premium,42,34,1
South Gloucestershire,15 DVD Standard,2501,24226,3217
South Gloucestershire,18 DVD Premium,2,2,0
South Gloucestershire,18 DVD Standard,289,2834,311
South Gloucestershire,Adult Fiction,50973,686002,425755
South Gloucestershire,Adult Graphic Novel,750,11708,8358
South Gloucestershire,Adult Non Fiction,38639,377260,467773
South Gloucestershire,Adult Reference,1335,1046,380
South Gloucestershire,Adult Spoken Word,5615,80668,20228
South Gloucestershire,B.O.P.,1723,7139,10030
South Gloucestershire,Boxed Set 12 DVD,52,521,144
South Gloucestershire,Boxed Set 15 DVD,140,1565,331
South Gloucestershire,Boxed Set 18 DVD,64,1047,157
South Gloucestershire,Boxed Set EX DVD,4,15,7
South Gloucestershire,Boxed Set PG DVD,20,167,33
South Gloucestershire,Boxed Set U DVD,61,418,83
South Gloucestershire,Child Fiction,52804,1077315,561638
South Gloucestershire,Child Non Fiction,11422,146553,112380
South Gloucestershire,Child Reference,134,561,298
South Gloucestershire,Child Spoken Word,2527,28126,19705
South Gloucestershire,Classification Exempt,117,1190,485
South Gloucestershire,Drama single copy,7,136,146
South Gloucestershire,Equipment,225,1351,1174
South Gloucestershire,Fastrack,2142,18336,11071
South Gloucestershire,Language Course,210,2755,1630
South Gloucestershire,Large Print - Adult Fiction,9879,175076,57742
South Gloucestershire,Large Print - Adult Non Fiction,751,11949,6094
South Gloucestershire,Large Print - Children,199,4442,3166
South Gloucestershire,Music CD,2181,24440,5202
South Gloucestershire,Music Score,123,2552,4371
South Gloucestershire,Music Set,1,1,1
South Gloucestershire,PG DVD Premium,32,23,1
South Gloucestershire,PG DVD Standard,1262,17831,2142
South Gloucestershire,U  DVD Premium,13,16,1
South Gloucestershire,U DVD Standard,2503,28297,3314
South Gloucestershire,YA / Teen Fiction,5086,39111,37098
South Gloucestershire,YA / Teen Non Fiction,247,1187,1608
